# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
2.088577e+04,1.175565e-02,1.295564e-04,2.325263e-02,6.313300e-03
2.132442e+04,1.193409e-02,1.234526e-04,-4.165925e-03,7.886439e-03
2.177227e+04,1.212485e-02,2.355053e-04,-2.903797e-02,6.923807e-03
2.222954e+04,1.237695e-02,8.056405e-05,-5.324125e-02,4.782422e-03
2.269641e+04,1.259495e-02,8.476808e-05,-7.430307e-02,5.402222e-03
2.317308e+04,1.280540e-02,1.105404e-04,-9.551898e-02,5.878942e-03
2.365976e+04,1.299328e-02,1.101021e-04,-1.106042e-01,5.956105e-03
2.415667e+04,1.335320e-02,4.672628e-05,-1.332017e-01,1.469273e-03
2.466401e+04,1.347373e-02,2.586798e-04,-1.479300e-01,3.768150e-03
2.518201e+04,1.378859e-02,7.260212e-05,-1.568568e-01,5.165656e-03
2.571089e+04,1.396631e-02,1.705579e-04,-1.681230e-01,5.975140e-03
2.625087e+04,1.425766e-02,1.081530e-04,-1.788500e-01,4.780497e-03
2.680219e+04,1.441058e-02,1.817928e-04,-1.883253e-01,7.393255e-03
2.736510e+04,1.468896e-02,3.290871e-04,-1.973379e-01,5.237645e-03
2.793982e+04,1.499017e-02,1.118366e-04,-2.035736e-01,3.850828e-03
2.852662e+04,1.526022e-02,7.513138e-05,-2.084344e-01,3.294191e-03
2.912574e+04,1.547020e-02,6.001219e-05,-2.168571e-01,4.487935e-03
2.973744e+04,1.554310e-02,5.447148e-04,-2.215966e-01,5.179462e-03
3.036199e+04,1.581454e-02,2.102615e-04,-2.248053e-01,5.504914e-03
3.099966e+04,1.600703e-02,4.953481e-04,-2.299718e-01,5.126697e-03
3.165072e+04,1.618849e-02,5.316832e-04,-2.306648e-01,6.149479e-03
3.231545e+04,1.635334e-02,4.757652e-04,-2.363083e-01,4.969321e-03
3.299415e+04,1.654457e-02,7.016087e-04,-2.374912e-01,8.155055e-03
3.368709e+04,1.701233e-02,5.402138e-05,-2.375861e-01,4.195145e-03
